word,count,url
祂(1/9292),15/15,http://www.jidajia.com/kaishu/2723882.html
囯(2/9291),1/16,http://www.jidajia.com/kaishu/2725029.html
埜(3/9290),6/22,http://www.jidajia.com/kaishu/2728018.html
夲(4/9289),31/53,http://www.jidajia.com/kaishu/2728759.html
孮(5/9288),1/54,http://www.jidajia.com/kaishu/2729141.html
咉(6/9287),1/55,http://www.jidajia.com/kaishu/2729187.html
昚(7/9286),4/59,http://www.jidajia.com/kaishu/2731474.html
粿(8/9285),20/79,http://www.jidajia.com/kaishu/2731482.html
夀(9/9284),21/100,http://www.jidajia.com/kaishu/2732300.html
楽(10/9283),14/114,http://www.jidajia.com/kaishu/2732328.html
塆(11/9282),1/115,http://www.jidajia.com/kaishu/2733963.html
漄(12/9281),1/116,http://www.jidajia.com/kaishu/2734548.html
牪(13/9280),1/117,http://www.jidajia.com/kaishu/2735445.html
圔(14/9279),1/118,http://www.jidajia.com/kaishu/2735733.html
呲(15/9278),45/163,http://www.jidajia.com/kaishu/2739036.html
啵(16/9277),45/208,http://www.jidajia.com/kaishu/2739158.html
栛(17/9276),1/209,http://www.jidajia.com/kaishu/2739279.html
乸(18/9275),6/215,http://www.jidajia.com/kaishu/2739461.html
亊(19/9274),6/221,http://www.jidajia.com/kaishu/2739744.html
浛(20/9273),8/229,http://www.jidajia.com/kaishu/2739865.html
騄(21/9272),3/232,http://www.jidajia.com/kaishu/2740140.html
叾(22/9271),1/233,http://www.jidajia.com/kaishu/2740625.html
簑(23/9270),17/250,http://www.jidajia.com/kaishu/2743190.html
堶(24/9269),1/251,http://www.jidajia.com/kaishu/2743221.html
岮(25/9268),1/252,http://www.jidajia.com/kaishu/2743672.html
喫(26/9267),29/281,http://www.jidajia.com/kaishu/2743673.html
掻(27/9266),1/282,http://www.jidajia.com/kaishu/2759632.html
箤(28/9265),1/283,http://www.jidajia.com/kaishu/2762817.html
撗(29/9264),9/292,http://www.jidajia.com/kaishu/2768759.html
囍(30/9263),24/316,http://www.jidajia.com/kaishu/2769113.html
魉(31/9262),38/354,http://www.jidajia.com/kaishu/2769690.html
敎(32/9261),12/366,http://www.jidajia.com/kaishu/2770005.html
潀(33/9260),2/368,http://www.jidajia.com/kaishu/2770028.html
鉧(34/9259),17/385,http://www.jidajia.com/kaishu/2770033.html
琸(35/9258),1/386,http://www.jidajia.com/kaishu/2771392.html
眏(36/9257),1/387,http://www.jidajia.com/kaishu/2771393.html
筕(37/9256),1/388,http://www.jidajia.com/kaishu/2771395.html
椘(38/9255),3/391,http://www.jidajia.com/kaishu/2772347.html
豋(39/9254),3/394,http://www.jidajia.com/kaishu/2772355.html
檏(40/9253),3/397,http://www.jidajia.com/kaishu/2772565.html
櫵(41/9252),1/398,http://www.jidajia.com/kaishu/2774872.html
骰(42/9251),62/460,http://www.jidajia.com/kaishu/2774873.html
騵(43/9250),4/464,http://www.jidajia.com/kaishu/2775266.html
顕(44/9249),5/469,http://www.jidajia.com/kaishu/2775700.html
赟(45/9248),16/485,http://www.jidajia.com/kaishu/2775707.html
糵(46/9247),2/487,http://www.jidajia.com/kaishu/2776989.html
証(47/9246),19/506,http://www.jidajia.com/kaishu/2780140.html
砯(48/9245),1/507,http://www.jidajia.com/kaishu/2808606.html
嚱(49/9244),1/508,http://www.jidajia.com/kaishu/2810528.html
晳(50/9243),4/512,http://www.jidajia.com/kaishu/2813148.html
磡(51/9242),28/540,http://www.jidajia.com/kaishu/2858424.html
矶(52/9241),8/548,http://www.jidajia.com/kaishu/1.html
矹(53/9240),1/549,http://www.jidajia.com/kaishu/78.html
矻(54/9239),6/555,http://www.jidajia.com/kaishu/79.html
矾(55/9238),2/557,http://www.jidajia.com/kaishu/88.html
矿(56/9237),7/564,http://www.jidajia.com/kaishu/93.html
砀(57/9236),1/565,http://www.jidajia.com/kaishu/118.html
码(58/9235),2/567,http://www.jidajia.com/kaishu/151.html
砂(59/9234),13/580,http://www.jidajia.com/kaishu/159.html
砉(60/9233),1/581,http://www.jidajia.com/kaishu/246.html
砌(61/9232),25/606,http://www.jidajia.com/kaishu/247.html
砍(62/9231),1/607,http://www.jidajia.com/kaishu/314.html
研(63/9230),78/685,http://www.jidajia.com/kaishu/327.html
砖(64/9229),10/695,http://www.jidajia.com/kaishu/667.html
砗(65/9228),1/696,http://www.jidajia.com/kaishu/711.html
砚(66/9227),15/711,http://www.jidajia.com/kaishu/713.html
砥(67/9226),17/728,http://www.jidajia.com/kaishu/884.html
砦(68/9225),1/729,http://www.jidajia.com/kaishu/950.html
砧(69/9224),68/797,http://www.jidajia.com/kaishu/951.html
砭(70/9223),2/799,http://www.jidajia.com/kaishu/980.html
砰(71/9222),4/803,http://www.jidajia.com/kaishu/1000.html
破(72/9221),106/909,http://www.jidajia.com/kaishu/1020.html
砷(73/9220),2/911,http://www.jidajia.com/kaishu/1513.html
砸(74/9219),1/912,http://www.jidajia.com/kaishu/1519.html
砺(75/9218),7/919,http://www.jidajia.com/kaishu/1520.html
砻(76/9217),5/924,http://www.jidajia.com/kaishu/1559.html
砾(77/9216),19/943,http://www.jidajia.com/kaishu/1588.html
础(78/9215),9/952,http://www.jidajia.com/kaishu/1652.html
硃(79/9214),1/953,http://www.jidajia.com/kaishu/1699.html
硅(80/9213),1/954,http://www.jidajia.com/kaishu/1701.html
硉(81/9212),1/955,http://www.jidajia.com/kaishu/1711.html
硒(82/9211),1/956,http://www.jidajia.com/kaishu/1721.html
硕(83/9210),51/1007,http://www.jidajia.com/kaishu/1722.html
硖(84/9209),5/1012,http://www.jidajia.com/kaishu/1859.html
硗(85/9208),1/1013,http://www.jidajia.com/kaishu/1866.html
硙(86/9207),1/1014,http://www.jidajia.com/kaishu/1879.html
硝(87/9206),2/1016,http://www.jidajia.com/kaishu/1890.html
硟(88/9205),1/1017,http://www.jidajia.com/kaishu/1897.html
硤(89/9204),5/1022,http://www.jidajia.com/kaishu/1912.html
硨(90/9203),1/1023,http://www.jidajia.com/kaishu/1919.html
硫(91/9202),3/1026,http://www.jidajia.com/kaishu/1932.html
硬(92/9201),9/1035,http://www.jidajia.com/kaishu/1936.html
确(93/9200),27/1062,http://www.jidajia.com/kaishu/1989.html
硯(94/9199),15/1077,http://www.jidajia.com/kaishu/2152.html
硷(95/9198),1/1078,http://www.jidajia.com/kaishu/2305.html
硼(96/9197),1/1079,http://www.jidajia.com/kaishu/2310.html
碁(97/9196),1/1080,http://www.jidajia.com/kaishu/2320.html
碉(98/9195),2/1082,http://www.jidajia.com/kaishu/2322.html
碌(99/9194),4/1086,http://www.jidajia.com/kaishu/2325.html
碍(100/9193),34/1120,http://www.jidajia.com/kaishu/2340.html
碎(101/9192),15/1135,http://www.jidajia.com/kaishu/2506.html
碑(102/9191),469/1604,http://www.jidajia.com/kaishu/2633.html
碓(103/9190),1/1605,http://www.jidajia.com/kaishu/3793.html
碗(104/9189),4/1609,http://www.jidajia.com/kaishu/3821.html
碘(105/9188),1/1610,http://www.jidajia.com/kaishu/3872.html
碛(106/9187),46/1656,http://www.jidajia.com/kaishu/3873.html
碝(107/9186),3/1659,http://www.jidajia.com/kaishu/3890.html
碣(108/9185),155/1814,http://www.jidajia.com/kaishu/3904.html
碧(109/9184),78/1892,http://www.jidajia.com/kaishu/4061.html
碩(110/9183),51/1943,http://www.jidajia.com/kaishu/4518.html
碭(111/9182),1/1944,http://www.jidajia.com/kaishu/4663.html
碰(112/9181),1/1945,http://www.jidajia.com/kaishu/4697.html
碱(113/9180),1/1946,http://www.jidajia.com/kaishu/4704.html
碳(114/9179),1/1947,http://www.jidajia.com/kaishu/4706.html
碴(115/9178),1/1948,http://www.jidajia.com/kaishu/4707.html
確(116/9177),27/1975,http://www.jidajia.com/kaishu/4708.html
碻(117/9176),1/1976,http://www.jidajia.com/kaishu/4871.html
碼(118/9175),2/1978,http://www.jidajia.com/kaishu/4872.html
碾(119/9174),1/1979,http://www.jidajia.com/kaishu/4880.html
磁(120/9173),5/1984,http://www.jidajia.com/kaishu/4897.html
磅(121/9172),3/1987,http://www.jidajia.com/kaishu/4913.html
磊(122/9171),86/2073,http://www.jidajia.com/kaishu/4934.html
磋(123/9170),1/2074,http://www.jidajia.com/kaishu/4996.html
磐(124/9169),17/2091,http://www.jidajia.com/kaishu/5012.html
磔(125/9168),8/2099,http://www.jidajia.com/kaishu/5084.html
磕(126/9167),2/2101,http://www.jidajia.com/kaishu/5117.html
磚(127/9166),10/2111,http://www.jidajia.com/kaishu/5125.html
磢(128/9165),1/2112,http://www.jidajia.com/kaishu/5169.html
磧(129/9164),4/2116,http://www.jidajia.com/kaishu/5173.html
磨(130/9163),64/2180,http://www.jidajia.com/kaishu/5190.html
磩(131/9162),5/2185,http://www.jidajia.com/kaishu/5486.html
磬(132/9161),46/2231,http://www.jidajia.com/kaishu/5495.html
磯(133/9160),8/2239,http://www.jidajia.com/kaishu/5659.html
磲(134/9159),1/2240,http://www.jidajia.com/kaishu/5736.html
磴(135/9158),15/2255,http://www.jidajia.com/kaishu/5738.html
磷(136/9157),2/2257,http://www.jidajia.com/kaishu/5791.html
磺(137/9156),1/2258,http://www.jidajia.com/kaishu/5814.html
磻(138/9155),18/2276,http://www.jidajia.com/kaishu/5822.html
磽(139/9154),1/2277,http://www.jidajia.com/kaishu/5896.html
磾(140/9153),10/2287,http://www.jidajia.com/kaishu/5909.html
礁(141/9152),1/2288,http://www.jidajia.com/kaishu/5923.html
礆(142/9151),1/2289,http://www.jidajia.com/kaishu/5925.html
礎(143/9150),9/2298,http://www.jidajia.com/kaishu/5933.html
礙(144/9149),34/2332,http://www.jidajia.com/kaishu/5986.html
礜(145/9148),2/2334,http://www.jidajia.com/kaishu/6154.html
礝(146/9147),2/2336,http://www.jidajia.com/kaishu/6176.html
三(147/9146),2314/4650,http://www.jidajia.com/kaishu/6178.html
上(148/9145),2006/6656,http://www.jidajia.com/kaishu/11797.html
下(149/9144),1857/8513,http://www.jidajia.com/kaishu/17034.html
不(150/9143),6307/14820,http://www.jidajia.com/kaishu/23889.html
与(151/9142),1294/16114,http://www.jidajia.com/kaishu/31134.html
丏(152/9141),1/16115,http://www.jidajia.com/kaishu/35174.html
丐(153/9140),4/16119,http://www.jidajia.com/kaishu/35186.html
丑(154/9139),141/16260,http://www.jidajia.com/kaishu/35230.html
