word,count
祂(1),15/15
囯(2),1/16
埜(3),6/22
夲(4),31/53
烳(5),1/54
孮(6),1/55
咉(7),1/56
衳(8),1/57
昚(9),4/61
粿(10),20/81
夀(11),21/102
楽(12),14/116
塆(13),1/117
漄(14),1/118
牪(15),1/119
圔(16),1/120
呲(17),45/165
啵(18),45/210
栛(19),1/211
乸(20),6/217
亊(21),6/223
騄(22),3/226
叾(23),1/227
簑(24),17/244
堶(25),1/245
喫(26),29/274
掻(27),1/275
箤(28),1/276
囍(29),24/300
魉(30),38/338
敎(31),12/350
潀(32),2/352
鉧(33),17/369
琸(34),1/370
眏(35),1/371
筕(36),1/372
椘(37),3/375
豋(38),3/378
檏(39),3/381
櫵(40),1/382
骰(41),62/444
騵(42),4/448
顕(43),5/453
赟(44),16/469
糵(45),2/471
証(46),19/490
砯(47),1/491
嚱(48),1/492
晳(49),4/496
磡(50),28/524
矶(51),8/532
矹(52),1/533
矻(53),6/539
矾(54),2/541
矿(55),7/548
砀(56),1/549
码(57),2/551
砂(58),13/564
砉(59),1/565
砌(60),25/590
砍(61),1/591
研(62),78/669
砖(63),10/679
砗(64),1/680
砚(65),15/695
砥(66),17/712
砦(67),1/713
砧(68),68/781
砭(69),2/783
砰(70),4/787
破(71),106/893
砷(72),2/895
砸(73),1/896
砺(74),7/903
砻(75),5/908
砾(76),19/927
础(77),9/936
硃(78),1/937
硅(79),1/938
硉(80),1/939
硒(81),1/940
硕(82),51/991
硖(83),5/996
硗(84),1/997
硙(85),1/998
硝(86),2/1000
硟(87),1/1001
硤(88),5/1006
硨(89),1/1007
硫(90),3/1010
硬(91),9/1019
确(92),27/1046
硯(93),15/1061
硷(94),1/1062
硼(95),1/1063
碁(96),1/1064
碉(97),2/1066
碌(98),4/1070
碍(99),34/1104
碎(100),15/1119
碑(101),469/1588
碓(102),1/1589
碗(103),4/1593
碘(104),1/1594
碛(105),46/1640
碝(106),3/1643
碣(107),155/1798
碧(108),78/1876
碩(109),51/1927
碭(110),1/1928
碰(111),1/1929
碱(112),1/1930
碳(113),1/1931
碴(114),1/1932
確(115),27/1959
碻(116),1/1960
碼(117),2/1962
碾(118),1/1963
磁(119),5/1968
磅(120),3/1971
磊(121),86/2057
磋(122),1/2058
磐(123),17/2075
磔(124),8/2083
磕(125),2/2085
磚(126),10/2095
磢(127),1/2096
磧(128),4/2100
磨(129),64/2164
磩(130),5/2169
磬(131),46/2215
磯(132),8/2223
磲(133),1/2224
磴(134),15/2239
磷(135),2/2241
磺(136),1/2242
磻(137),18/2260
磽(138),1/2261
磾(139),10/2271
礁(140),1/2272
礆(141),1/2273
礎(142),9/2282
礙(143),34/2316
礜(144),2/2318
礝(145),2/2320
三(146),2314/4634
上(147),2006/6640
下(148),1857/8497
不(149),6307/14804
与(150),1294/16098
丏(151),1/16099
丐(152),4/16103
丑(153),141/16244
专(154),173/16417
且(155),363/16780
丕(156),61/16841
世(157),1576/18417
丘(158),277/18694
丙(159),127/18821
业(160),450/19271
丛(161),35/19306
东(162),889/20195
丝(163),101/20296
丞(164),192/20488
丟(165),3/20491
丢(166),3/20494
两(167),320/20814
严(168),234/21048
並(169),606/21654
丧(170),128/21782
个(171),15/21797
丫(172),1/21798
丰(173),88/21886
丱(174),2/21888
串(175),1/21889
临(176),512/22401
丸(177),51/22452
丹(178),444/22896
主(179),488/23384
举(180),318/23702
丽(181),124/23826
义(182),660/24486
乂(183),44/24530
乃(184),1126/25656
久(185),351/26007
么(186),10/26017
乌(187),82/26099
乍(188),97/26196
乎(189),778/26974
乏(190),38/27012
乐(191),623/27635
乒(192),1/27636
乓(193),1/27637
乔(194),32/27669
乖(195),45/27714
乘(196),349/28063
乙(197),145/28208
九(198),1048/29256
乞(199),94/29350
习(200),180/29530
乡(201),201/29731
甑(202),1/29732
甓(203),3/29735
甕(204),7/29742
甘(205),143/29885
甚(206),306/30191
甜(207),9/30200
生(208),2206/32406
產(209),59/32465
産(210),59/32524
甤(211),1/32525
甥(212),12/32537
用(213),606/33143
甩(214),87/33230
甫(215),162/33392
田(216),318/33710
由(217),245/33955
甲(218),357/34312
申(219),276/34588
电(220),57/34645
男(221),231/34876
甸(222),11/34887
町(223),3/34890
画(224),259/35149
甿(225),1/35150
畀(226),10/35160
畅(227),67/35227
畊(228),7/35234
畋(229),5/35239
界(230),159/35398
畎(231),9/35407
畏(232),102/35509
畔(233),28/35537
留(234),235/35772
畚(235),6/35778
畛(236),3/35781
畜(237),31/35812
畝(238),52/35864
畢(239),164/36028
畣(240),2/36030
畤(241),3/36033
略(242),141/36174
畦(243),16/36190
番(244),16/36206
畫(245),259/36465
畬(246),1/36466
畯(247),2/36468
異(248),438/36906
畲(249),3/36909
畴(250),57/36966
當(251),1094/38060
畷(252),1/38061
畸(253),1/38062
畹(254),7/38069
畿(255),16/38085
疃(256),1/38086
疆(257),35/38121
疇(258),57/38178
疊(259),30/38208
疏(260),216/38424
疑(261),264/38688
疕(262),1/38689
疗(263),5/38694
疙(264),2/38696
疚(265),7/38703
疝(266),2/38705
疟(267),5/38710
疠(268),5/38715
疢(269),2/38717
疣(270),2/38719
疤(271),1/38720
疥(272),1/38721
疦(273),1/38722
疫(274),2/38724
疭(275),1/38725
疮(276),19/38744
疯(277),2/38746
疲(278),52/38798
疴(279),4/38802
疵(280),6/38808
疹(281),3/38811
疻(282),1/38812
疼(283),1/38813
疽(284),1/38814
疾(285),190/39004
痂(286),1/39005
病(287),130/39135
症(288),2/39137
痈(289),1/39138
痊(290),4/39142
痌(291),2/39144
痍(292),2/39146
痏(293),1/39147
痒(294),2/39149
痔(295),1/39150
痕(296),11/39161
痘(297),1/39162
痛(298),114/39276
痡(299),2/39278
痢(300),1/39279
痪(301),2/39281
痰(302),10/39291
痴(303),23/39314
痹(304),1/39315
痼(305),29/39344
痾(306),47/39391
痿(307),1/39392
瘁(308),1/39393
瘄(309),1/39394
瘅(310),1/39395
瘋(311),2/39397
瘐(312),3/39400
瘓(313),2/39402
瘕(314),1/39403
瘗(315),11/39414
瘘(316),1/39415
瘚(317),1/39416
瘛(318),1/39417
瘝(319),1/39418
瘞(320),11/39429
瘟(321),1/39430
瘡(322),19/39449
瘤(323),1/39450
瘥(324),2/39452
瘦(325),28/39480
瘧(326),5/39485
瘩(327),1/39486
瘪(328),2/39488
瘫(329),2/39490
瘴(330),5/39495
瘵(331),4/39499
瘸(332),1/39500
瘺(333),1/39501
瘻(334),1/39502
瘼(335),1/39503
瘿(336),2/39505
療(337),5/39510
癃(338),2/39512
癉(339),1/39513
癌(340),1/39514
癕(341),1/39515
癖(342),78/39593
癘(343),5/39598
癞(344),2/39600
癟(345),2/39602
癡(346),23/39625
癢(347),2/39627
癣(348),5/39632
癥(349),2/39634
癩(350),2/39636
癬(351),5/39641
癭(352),2/39643
癰(353),1/39644
癱(354),2/39646
癸(355),139/39785
登(356),283/40068
發(357),580/40648
白(358),611/41259
百(359),818/42077
的(360),103/42180
皀(361),1/42181
皂(362),6/42187
皆(363),765/42952
皇(364),630/43582
皈(365),4/43586
皋(366),61/43647
皎(367),40/43687
皐(368),1/43688
皓(369),176/43864
皖(370),2/43866
皙(371),1/43867
皤(372),7/43874
皦(373),5/43879
皮(374),13/43892
皱(375),2/43894
皴(376),3/43897
皺(377),2/43899
皿(378),1/43900
盂(379),5/43905
盅(380),2/43907
盆(381),11/43918
盈(382),130/44048
益(383),305/44353
盍(384),8/44361
盎(385),79/44440
